Name;Calories;Protein;Carbohydrate;Fat
Arroz (polido, parboilizado, agulha, agulhinha, etc.);135,6229457;2,496112663;27,78486347;1,200042
Arroz integral;130,9456438;2,56288515;25,55681445;1,965796667
Milho (em grão), Cru(a) [1];160,141;3,32;25,11;7,178
Milho (em grão), Cozido(a) [2];160,141;3,32;25,11;7,178
Milho (em grão), Grelhado(a)/brasa/churrasco [3];160,141;3,32;25,11;7,178
Milho (em grão), Assado(a) [4];160,141;3,32;25,11;7,178
Milho (em grão), Refogado(a) [7];160,141;3,32;25,11;7,178
Milho (em grão), Ensopado [13];160,141;3,32;25,11;7,178
Milho (em grão);160,141;3,32;25,11;7,178
Canjiquinha de milho em grão, Cru(a) [1];79,68;1,237;13,503;2,198
Canjiquinha de milho em grão, Cozido(a) [2];62,952;1,237;13,503;0,305
Canjiquinha de milho em grão, Ensopado [13];79,68;1,237;13,503;2,198
Canjiquinha de milho em grão, Mingau [14];62,952;1,237;13,503;0,305
Canjiquinha de milho em grão, Sopa [15];31,443;0,948;7,012;0,123
Canjiquinha de milho em grão;62,952;1,237;13,503;0,305
Xerém de milho;62,952;1,237;13,503;0,305
Amendoim (em grão) in natura;567;25,8;16,13;49,24
Ervilha em grão;109,093;5,36;15,63;3,059
Fava (em grão);85,617;4,8;10,1;3,172
Mangalô amargo em grão;85,617;4,8;10,1;3,172
Feijão-de-corda;121,332;3,17;20,32;3,133
Feijão-verde;121,332;3,17;20,32;3,133
Semente de linhaça;534;18,29;28,88;42,16
Andu;97,405;5,838;15,054;1,794
Grão de bico;188,481;8,86;27,42;5,359
Lentilha;136,277;9,02;20,13;2,674
Soja em grão;196,342;16,64;9,93;11,611
Feijão (preto, mulatinho, roxo, rosinha, etc.);97,405;5,838;15,054;1,794
Quirera não especificada;62,952;1,237;13,503;0,305
Feijão-verde orgânico;121,332;3,17;20,32;3,133
Feijão orgânico;97,405;5,838;15,054;1,794
Pipoca  light;445,938;10,773;64,852;17,78
Arroz  orgânico;135,6229457;2,496112663;27,78486347;1,200042
Arroz integral orgânico;130,9456438;2,56288515;25,55681445;1,965796667
Feijão-de-soja orgânico;196,342;16,64;9,93;11,611
Quinoa;135,465;4,365;19,834;4,331
Batata-inglesa, Cru(a) [1];86;1,71;20,01;0,1
Batata-inglesa, Cozido(a) [2];86;1,71;20,01;0,1
Batata-inglesa, Grelhado(a)/brasa/churrasco [3];86;1,71;20,01;0,1
Batata-inglesa, Assado(a) [4];86;1,71;20,01;0,1
Batata-inglesa, Frito(a) [5];263,5;2,871;33,6;13,64
Batata-inglesa, Refogado(a) [7];111,736;1,71;20,01;3,011
Batata-inglesa, Molho vermelho [8];73,6;1,632;17,084;0,116
Batata-inglesa, Molho branco [9];101,39;2,147;17,859;2,569
Batata-inglesa, Ao alho e óleo [10];263,5;2,871;33,6;13,64
